na nb nc nd la lb lc ld ja jb jc jd ma mb mc md   coul_dir         coul_ex          br_dir           br_ex            total
 8  7  7  7  0  1  0  1  1  3  1  3  1 -1  1 -1   0.12168833E-01   0.54347625E-02   0.44617252E-07   0.69862292E-06   0.17604338E-01
 8  7  7  7  0  1  0  1  1  3  1  3  1  1  1  1   0.12168833E-01   0.10869525E-01  -0.44617252E-07   0.13655084E-05   0.23039679E-01
 7  8  7  7  1  0  0  1  1  1  1  3 -1  1 -1  1  -0.89003958E-02   0.00000000E+00  -0.11500460E-05   0.31335434E-08  -0.89015428E-02
 7  8  7  7  1  0  0  1  1  1  1  3  1 -1  1 -1   0.89003958E-02   0.00000000E+00   0.11500460E-05  -0.31335434E-08   0.89015428E-02
 7  8  7  8  1  0  0  1  3  1  1  1 -1 -1 -1 -1   0.88364990E-02   0.00000000E+00  -0.75122710E-06   0.12788093E-07   0.88357606E-02
 7  8  7  8  1  0  0  1  3  1  1  1 -3  1 -1 -1  -0.15305265E-01   0.00000000E+00   0.13011635E-05  -0.22149628E-07  -0.15303986E-01
 7  8  7  8  1  0  0  1  3  1  1  1 -1  1 -1  1  -0.88364990E-02   0.00000000E+00   0.75122710E-06  -0.12788093E-07  -0.88357606E-02
 7  8  7  8  1  0  0  1  3  1  1  1  1 -1 -1  1   0.88364990E-02   0.00000000E+00  -0.75122710E-06   0.12788093E-07   0.88357606E-02
 7  8  7  8  1  0  0  1  3  1  1  1  1 -1  1 -1   0.88364990E-02   0.00000000E+00  -0.75122710E-06   0.12788093E-07   0.88357606E-02
 7  8  7  8  1  0  0  1  3  1  1  1  3 -1  1  1   0.15305265E-01   0.00000000E+00  -0.13011635E-05   0.22149628E-07   0.15303986E-01
 7  8  7  8  1  0  0  1  3  1  1  1 -1  1  1 -1  -0.88364990E-02   0.00000000E+00   0.75122710E-06  -0.12788093E-07  -0.88357606E-02
 7  8  7  8  1  0  0  1  3  1  1  1  1  1  1  1  -0.88364990E-02   0.00000000E+00   0.75122710E-06  -0.12788093E-07  -0.88357606E-02
