n1 n2 n3 n4 m1 m2 m3 m4   <n1n2|C|n3n4>            <n1n2|C|n4n3>            <n1n2|B|n3n4>            <1n2|B|n4n3>            Total
31 34 30 33  1 -1 -1  1    0.1044316031000998e-02   0.1709770639621662e-03   0.7943895819236498e-08  -0.7159883839279831e-08   0.8733540708184898e-03
30 33 29 32  1 -1  1 -1   -0.8039198594306544e-02   0.1299852071027269e-02  -0.5683854333100184e-06   0.3803506469815217e-06  -0.9339999401414103e-02
34 34 30 30  1 -1  1 -1   -0.3042166617468729e-03   0.4563249926203093e-03  -0.6151878274788419e-08   0.6370127362203097e-08  -0.7605541763728191e-03
34 34 31 31  3 -3  3 -3    0.3539853045549301e-02   0.0000000000000000e+00   0.3770919279679936e-07  -0.1933302152064148e-07   0.3539910087763618e-02
34 34 31 31  3 -3  1 -1   -0.4223322105738340e-03   0.4223322105738337e-03  -0.3062631632478226e-07   0.1306353707053440e-07  -0.8447081110010631e-03
32 33 29 30  1 -1 -1  1    0.0000000000000000e+00  -0.6499260355136346e-03  -0.7825089604652132e-07   0.1901753234907609e-06   0.6496576092940974e-03
32 33 29 30 -1  1 -1  1    0.6906141575075708e-02   0.1299852071027269e-02   0.3912544802326067e-07  -0.3803506469815217e-06   0.5606708980143443e-02
29 32 29 32  1 -1  1 -1    0.2000261204614819e+00   0.0000000000000000e+00   0.9181847258452514e-07  -0.1836219158055704e-06   0.2000263959018703e+00
29 33 29 33  1 -1  1 -1    0.1749151867841069e+00   0.2667556163433949e-02   0.2031486065600303e-06  -0.3119085966026002e-06   0.1722481456778761e+00
34 30 30 30 -1  1 -1  1    0.0000000000000000e+00   0.0000000000000000e+00  -0.2592338528313331e-07  -0.2592338528313330e-07  -0.3308722450212111e-23
32 33 29 30  1 -1  1 -1    0.6906141575075708e-02   0.1299852071027269e-02   0.3912544802326067e-07  -0.3803506469815217e-06   0.5606708980143443e-02
30 32 29 34  1 -1 -1  1    0.6349189747344006e-03   0.0000000000000000e+00  -0.3557439564773844e-06   0.5720609970595532e-08   0.6345575101679525e-03
31 31 29 32  3 -3  1 -1    0.1630324181975212e-01   0.0000000000000000e+00  -0.2055365880861932e-05   0.3194948402160984e-07   0.1630115450438724e-01
31 31 30 31 -1  3 -1  3   -0.6300806603849883e-02  -0.1260161320769975e-01   0.2101929655553881e-06   0.0000000000000000e+00   0.6301016796815421e-02
34 30 31 30 -1 -1 -1 -1    0.2655560735280651e-01   0.1589760741939450e-02  -0.1972812951758342e-07  -0.2866831243959423e-07   0.2496585555104998e-01
32 30 29 30  1  1  1  1    0.2938667778315660e-01   0.1798392737490469e-03  -0.2339770500392055e-06  -0.9507290282679384e-06   0.2920755526138578e-01
32 30 29 30  1 -1  1 -1    0.2938667778315660e-01   0.3596785474980938e-03   0.2339770500392055e-06  -0.1901458056535876e-05   0.2902913467076508e-01
32 32 29 32  1 -1  1 -1    0.3187316291940578e-02   0.0000000000000000e+00   0.7828606892872567e-08  -0.1565721378574513e-07   0.3187339777761257e-02
31 31 30 30  1 -1  1 -1   -0.8763078239654064e-02   0.1314461735948109e-01  -0.2034218822582377e-06   0.2293519914445679e-06  -0.2190812837300886e-01
31 31 31 31  3 -3  3 -3    0.2423556092301676e+00   0.0000000000000000e+00   0.1142282982580922e-05  -0.4318009359352459e-06   0.2423571833140861e+00
30 34 29 32  1 -1 -1  1   -0.6349189747344006e-03   0.3933382076048491e-03  -0.3557439564773844e-06  -0.1207439715213793e-06  -0.1028492182324206e-02
