n1 n2 n3 n4 m1 m2 m3 m4   <n1n2|C|n3n4>            <n1n2|C|n4n3>            <n1n2|B|n3n4>            <1n2|B|n4n3>            Total
34 29 31 29  3  1  3  1    0.2820170872848877e-01   0.5692453615330609e-02  -0.1361049510179953e-06  -0.7206958259095170e-06   0.2250983970403305e-01
34 29 31 29  3 -1  3 -1    0.2820170872848877e-01   0.0000000000000000e+00   0.1361049510179953e-06  -0.6785054223358656e-07   0.2820191268398202e-01
32 33 32 33 -1 -1 -1 -1    0.1515940083968297e+00   0.1114164134936367e-01  -0.4211216714681585e-07  -0.2279947256358763e-06   0.1404525529300245e+00
30 32 30 32  1 -1 -1  1    0.0000000000000000e+00  -0.1804761416994954e-02  -0.9901710195414267e-07   0.3053171928331903e-06   0.1804357082700167e-02
30 33 29 32 -1 -1 -1 -1    0.8039198594306544e-02   0.6499260355136346e-03   0.5683854333100184e-06   0.1901753234907609e-06   0.7389650768902728e-02
29 32 30 30 -1  1  1 -1    0.3596785474980938e-03  -0.1798392737490469e-03   0.1901458056535876e-05  -0.9507290282679384e-06   0.5423700083319446e-03
32 34 32 34 -1 -1 -1 -1    0.1031167001529434e+00   0.2643244330144872e-02  -0.1050164345194798e-07  -0.1017796855997741e-06   0.1004735471008407e+00
32 34 32 34 -1 -1  1 -3    0.0000000000000000e+00   0.2289116738314640e-02  -0.3637876004349383e-07  -0.7822039438775434e-07  -0.2289074896680296e-02
30 34 30 34  1 -1 -1  1    0.0000000000000000e+00  -0.3042166617468728e-03  -0.2521278462229561e-07   0.4364981748293561e-09   0.3041910124640757e-03
31 31 29 32  1 -1 -1  1    0.5434413939917371e-02  -0.1086882787983474e-01  -0.7064216163017169e-06   0.1380893748581824e-05   0.1630115450438723e-01
30 32 29 31 -1  1 -1  1   -0.8911825115325510e-02   0.0000000000000000e+00  -0.1153937656900067e-05  -0.3074603355118608e-08  -0.8912975978379055e-02
30 32 29 31 -1 -1 -1 -1   -0.8911825115325510e-02   0.0000000000000000e+00  -0.1153937656900067e-05  -0.3074603355118608e-08  -0.8912975978379055e-02
30 34 29 32 -1  1  1 -1    0.6349189747344006e-03  -0.3933382076048491e-03   0.3557439564773844e-06   0.1207439715213793e-06   0.1028492182324206e-02
30 34 29 32 -1  1 -1  1    0.6349189747344007e-03  -0.3933382076048490e-03   0.3557439564773845e-06   0.1207439715213793e-06   0.1028492182324206e-02
34 30 31 30  1 -1  1 -1    0.2655560735280651e-01   0.2384641112909174e-02   0.1972812951758342e-07  -0.3011669169167190e-07   0.2417101608471854e-01
34 31 31 31  1 -1  1 -1    0.2012616927869898e-01   0.0000000000000000e+00   0.5481360295270169e-07  -0.2027019151845069e-06   0.2012642679421712e-01
31 32 29 30  1 -1 -1  1   -0.1348976820434680e-02   0.0000000000000000e+00  -0.8792709522419216e-06  -0.3074603355118608e-08  -0.1349853016783566e-02
33 33 29 32  1 -1  1 -1   -0.4855871028371313e-03   0.9711742056742623e-03  -0.6976374419073514e-07   0.1395274883814702e-06  -0.1456970599743966e-02
33 33 31 31  1 -1  3 -3    0.1318825426715378e-02  -0.5275301706861510e-02   0.7998104755114571e-07  -0.2287956198430226e-06   0.6594435910244282e-02
31 32 29 34 -1  1  1 -1    0.4061178177015182e-03   0.2007370768757974e-02  -0.2419775230832181e-06   0.5059888734292326e-08  -0.1601499988468273e-02
31 32 29 34 -1 -1  1 -3    0.7034166941180247e-03   0.0000000000000000e+00  -0.4266960735283735e-06  -0.1752796873687937e-07   0.7030075260132331e-03
31 32 29 34 -3  1  1 -3    0.0000000000000000e+00   0.2007370768757974e-02   0.4375569830544574e-08   0.1517966620287697e-07  -0.2007381572854346e-02
29 34 29 34  1 -3  1 -3    0.1076408140040001e+00   0.0000000000000000e+00   0.5316791753023151e-07  -0.1246604114847134e-07   0.1076408796379588e+00
30 31 29 32 -1  3  1  1   -0.1543573388791215e-01  -0.2336496391225584e-02   0.1998678650517900e-05   0.1522941962902477e-05  -0.1309876175999895e-01
34 34 31 34  3 -3  3 -3    0.9165972596702876e-03   0.0000000000000000e+00   0.5312768815613173e-08   0.3304529338155531e-09   0.9166022419861695e-03
34 34 31 34  3 -3  1 -1    0.4892580495798541e-03  -0.4892580495798538e-03  -0.3486770388106191e-08  -0.1652264669077765e-09   0.9785127776157866e-03
34 34 31 34  3 -3 -1  1   -0.4892580495798538e-03   0.4892580495798541e-03  -0.1652264669077765e-09  -0.3486770388106191e-08  -0.9785127776157868e-03
34 29 31 29 -3  1 -3  1    0.2820170872848877e-01   0.0000000000000000e+00   0.1361049510179953e-06  -0.6785054223358656e-07   0.2820191268398202e-01
30 33 30 33  1 -1 -1  1    0.0000000000000000e+00   0.7386684902885107e-02  -0.3152236357182121e-06   0.9334371724385079e-07  -0.7387093470238069e-02
29 32 29 32  1 -1 -1  1    0.0000000000000000e+00   0.7559637285105486e-02  -0.1836369451690503e-06   0.9181095790278520e-07  -0.7559912733008559e-02
29 32 30 30  1 -1  1 -1   -0.1798392737490469e-03   0.3596785474980938e-03  -0.9507290282679384e-06   0.1901458056535876e-05  -0.5423700083319445e-03
29 33 29 33  1 -1 -1  1    0.0000000000000000e+00  -0.1333778081716975e-02  -0.4062972131200605e-06   0.1559542983013001e-06   0.1333215830205553e-02
32 33 29 33 -1 -1 -1 -1    0.2177493509017064e-02   0.4855871028371313e-03  -0.2120714972911737e-07  -0.6976374419073514e-07   0.1691954962774394e-02
31 29 30 29 -1  1 -1  1    0.0000000000000000e+00  -0.2468974867244408e-01   0.1301963755560580e-06   0.2767906567156567e-05   0.2468711096225248e-01
29 34 29 34  1 -1 -1  1    0.0000000000000000e+00   0.6623316828272610e-03  -0.7089055670697535e-07  -0.5929279815391365e-07  -0.6623432805858142e-03
30 32 29 31  1  1 -1  3   -0.1543573388791215e-01   0.0000000000000000e+00  -0.1998678650517900e-05  -0.5325369224187166e-08  -0.1543772724119344e-01
30 32 29 31  1 -1 -1  1   -0.8911825115325508e-02   0.0000000000000000e+00  -0.1153937656900067e-05  -0.3074603355118608e-08  -0.8912975978379053e-02
30 34 29 32 -1  3  1  1    0.1099711922929522e-02  -0.6812817601296737e-03   0.6161666071044014e-06   0.2091346933826786e-06   0.1781400714972918e-02
32 32 30 34  1 -1  1 -1    0.6351898552623309e-03   0.6351898552623308e-03  -0.1249737499531796e-06  -0.1249737499531796e-06   0.1124436237480084e-18
34 30 31 30  3  1  3  1    0.2655560735280651e-01   0.7948803709697245e-03  -0.5918438855275026e-07  -0.2721993318751653e-07   0.2576069501738142e-01
31 32 29 30 -1 -1 -1 -1   -0.1348976820434680e-02   0.0000000000000000e+00  -0.8792709522419219e-06  -0.3074603355118608e-08  -0.1349853016783567e-02
32 31 29 31  1  3  1  3    0.1218390839643932e-01  -0.1630324181975212e-01  -0.1342927047081379e-06  -0.2055365880861932e-05   0.2848907128936759e-01
32 31 29 31  1 -3  1 -3    0.1218390839643932e-01   0.0000000000000000e+00   0.1342927047081379e-06  -0.3194948402160981e-07   0.1218407463862805e-01
33 33 29 32  1 -1 -1  1    0.9711742056742623e-03  -0.4855871028371313e-03   0.1395274883814702e-06  -0.6976374419073514e-07   0.1456970599743966e-02
29 31 29 31 -1 -1 -1 -1    0.2887410028985971e+00   0.2280721984578603e-01  -0.3139079154622118e-06  -0.3835796456169597e-05   0.2659373049413518e+00
31 31 31 31  1 -1  1 -1    0.2423556092301676e+00   0.0000000000000000e+00   0.3188318584802117e-06  -0.1255252060035956e-05   0.2423571833140861e+00
33 29 30 29 -1  1 -1  1    0.4238434577425085e-01   0.1134494279621224e-01   0.9681211884462420e-07  -0.1274995396795952e-05   0.3104077478555425e-01
33 29 30 29 -1 -1 -1 -1    0.4238434577425085e-01   0.5672471398106118e-02  -0.9681211884462420e-07  -0.6374976983979759e-06   0.3671241506172429e-01
34 31 31 31  1 -3  1 -3    0.1877405472099396e-01   0.1352114557705015e-02   0.4653735463955174e-07  -0.3930115140618443e-07   0.1742202600179499e-01
34 31 31 31  3  1  3  1    0.1877405472099396e-01   0.1352114557705016e-02  -0.4653735463955177e-07  -0.1323758606852879e-06   0.1742202600179499e-01
34 31 31 31  3 -1  3 -1    0.1877405472099396e-01   0.1352114557705015e-02   0.4653735463955177e-07  -0.3930115140618440e-07   0.1742202600179499e-01
33 33 31 31  1 -1  1 -1   -0.2637650853430756e-02   0.3956476280146133e-02  -0.1295859049817714e-06   0.1791907624123971e-06  -0.6594435910244284e-02
33 29 30 29  1  1  1  1    0.4238434577425085e-01   0.5672471398106118e-02  -0.9681211884462420e-07  -0.6374976983979759e-06   0.3671241506172429e-01
33 29 30 29  1 -1  1 -1    0.4238434577425085e-01   0.1134494279621224e-01   0.9681211884462420e-07  -0.1274995396795952e-05   0.3104077478555425e-01
33 33 30 33  1 -1  1 -1    0.3206160772191575e-02   0.0000000000000000e+00   0.1507936523672216e-07  -0.3015873047344432e-07   0.3206206010287285e-02
29 34 29 34 -1 -3 -1 -3    0.1076408140040001e+00   0.9934975242408919e-03  -0.5316791753023151e-07  -0.1014052383793419e-06   0.1066473647170801e+00
29 34 29 30  1 -3 -1 -1    0.0000000000000000e+00  -0.6708752023444516e-02   0.6785864812381289e-08   0.6402342991398871e-06   0.6708118575010190e-02
31 34 30 33  1 -3 -1 -1   -0.6029361416174674e-03   0.1480704808557127e-03  -0.4780509196298332e-08  -0.1324774525478827e-08  -0.7510100782078509e-03
30 31 29 32  1 -3 -1 -1    0.1543573388791215e-01   0.2336496391225584e-02  -0.1998678650517900e-05  -0.1522941962902477e-05   0.1309876175999895e-01
34 29 31 29 -3 -1 -3 -1    0.2820170872848877e-01   0.5692453615330609e-02  -0.1361049510179953e-06  -0.7206958259095170e-06   0.2250983970403305e-01
34 34 31 34 -3  3 -3  3    0.9165972596702876e-03   0.0000000000000000e+00   0.5312768815613173e-08   0.3304529338155531e-09   0.9166022419861695e-03
34 34 31 34  1 -1  3 -3    0.4892580495798539e-03  -0.4892580495798538e-03  -0.3486770388106190e-08  -0.1652264669077765e-09   0.9785127776157866e-03
29 32 30 31 -1  1  1 -1    0.8911825115325508e-02   0.1348976820434680e-02  -0.1153937656900067e-05  -0.8792709522419219e-06   0.7562573628186169e-02
29 32 30 31 -1 -1  1 -3    0.1543573388791215e-01   0.2336496391225584e-02  -0.1998678650517900e-05  -0.1522941962902477e-05   0.1309876175999895e-01
30 32 30 32 -1  1  1 -1    0.0000000000000000e+00  -0.1804761416994954e-02  -0.9901710195414267e-07   0.3053171928331903e-06   0.1804357082700167e-02
31 34 30 34  1 -1 -1  1    0.0000000000000000e+00   0.2105249414250589e-03  -0.1221207866606708e-07   0.2411530870386022e-08  -0.2105395650345954e-03
31 34 30 34 -3  1 -1 -1    0.0000000000000000e+00  -0.3646398948086639e-03   0.2115194071565615e-07  -0.4176893991529385e-08   0.3646652236433710e-03
31 31 30 31  1 -3 -1 -1   -0.1091331716653350e-01   0.0000000000000000e+00  -0.1213549652451691e-06   0.2427099304903382e-06  -0.1091368123142924e-01
31 34 30 34  1  1 -1  3    0.1419341441376513e-02   0.3646398948086641e-03  -0.1057597035782807e-07  -0.3728828336050595e-08   0.1054694699425827e-02
30 32 29 30 -1  1 -1  1   -0.1798392737490469e-03   0.0000000000000000e+00   0.9507290282679384e-06  -0.4679541000784110e-06  -0.1784205906207006e-03
32 33 29 33  1 -1 -1  1    0.0000000000000000e+00  -0.4855871028371313e-03  -0.4241429945823472e-07   0.6976374419073514e-07   0.4854749247934823e-03
31 32 30 32 -1 -1 -1 -1    0.0000000000000000e+00   0.4430036965183497e-02  -0.2096219689663318e-07  -0.3453172791651859e-06  -0.4429712610101229e-02
31 32 30 32 -3  1 -1 -1    0.0000000000000000e+00  -0.7673049103106054e-02   0.3630759006323130e-07   0.5981070722455475e-06   0.7672487303623871e-02
29 31 29 30  1 -3 -1 -1    0.0000000000000000e+00  -0.4276389912677940e-01   0.2255067374244110e-06   0.4794154804918731e-05   0.4275933047871190e-01
31 31 31 31  3  1  3  1    0.2323498917887983e+00   0.1000571744136931e-01  -0.3087941715377664e-06  -0.8334888110431558e-06   0.2223446990420685e+00
30 32 29 33 -1  1  1 -1    0.1607839718861308e-01   0.6906141575075708e-02  -0.1136770866620036e-05   0.3912544802326067e-07   0.9171079717222735e-02
32 32 30 34  1 -1 -1  1   -0.6351898552623309e-03  -0.6351898552623310e-03   0.1249737499531796e-06   0.1249737499531796e-06   0.1043438711898891e-18
31 32 29 31  3 -1  1  1   -0.9412681053297447e-02   0.0000000000000000e+00  -0.1168220001398462e-05  -0.1550678584268927e-06  -0.9413694205440418e-02
31 32 29 31 -3  1 -1 -1   -0.9412681053297447e-02   0.0000000000000000e+00  -0.1168220001398462e-05  -0.1550678584268927e-06  -0.9413694205440418e-02
32 31 29 31 -1  3 -1  3    0.1218390839643932e-01   0.0000000000000000e+00   0.1342927047081379e-06  -0.3194948402160981e-07   0.1218407463862805e-01
32 31 29 31 -1 -3 -1 -3    0.1218390839643932e-01  -0.1630324181975212e-01  -0.1342927047081379e-06  -0.2055365880861932e-05   0.2848907128936759e-01
30 33 31 31 -1  1  3 -3    0.2397219539591704e-02  -0.5993048848979262e-03  -0.7277224759339043e-07   0.4666177085115098e-07   0.2996404990471186e-02
31 31 29 29  3 -3  1 -1   -0.3421082976867905e-01   0.0000000000000000e+00  -0.5494493875659500e-05   0.5184016171897894e-06  -0.3421684266417190e-01
31 31 29 29  1 -1  1 -1    0.2280721984578603e-01  -0.1140360992289301e-01   0.3835796456169597e-05  -0.2177099036679692e-05   0.3421684266417190e-01
33 30 30 30 -1  1 -1  1    0.3518398006268058e-01   0.0000000000000000e+00   0.3557251473606114e-06  -0.7114502947212224e-06   0.3518504723812266e-01
33 30 30 30  1 -1  1 -1    0.3518398006268058e-01   0.0000000000000000e+00   0.3557251473606114e-06  -0.7114502947212224e-06   0.3518504723812266e-01
34 31 31 31  3 -3  3 -3    0.2012616927869898e-01   0.0000000000000000e+00   0.1789132153248397e-06  -0.7860230281236887e-07   0.2012642679421711e-01
30 33 31 31  1 -1  3 -3   -0.5993048848979262e-03   0.2397219539591704e-02   0.4666177085115098e-07  -0.7277224759339043e-07  -0.2996404990471186e-02
31 34 31 34  3 -3  3 -3    0.1066999237574136e+00   0.0000000000000000e+00   0.9144929564300471e-07  -0.1933302152064148e-07   0.1067000345397307e+00
31 34 31 34  3 -3  1 -1   -0.1886217096339671e-02   0.4223322105738337e-03  -0.6418838442806825e-07   0.6269484450107069e-08  -0.2308619764782382e-02
34 29 30 29  1  1  1  1    0.0000000000000000e+00  -0.3873299786662138e-02   0.3917820876112747e-08   0.3696394449528452e-06   0.3872934065038062e-02
31 34 30 33 -1 -1 -1 -1    0.6962106873339985e-03  -0.1709770639621662e-03   0.5520056542692647e-08   0.1529717857801520e-08   0.8671917416348496e-03
30 31 29 32 -1  1  1 -1   -0.8911825115325508e-02  -0.1348976820434680e-02   0.1153937656900067e-05   0.8792709522419218e-06  -0.7562573628186169e-02
34 29 31 29  1  1  1  1    0.2820170872848877e-01   0.3794969076887073e-02  -0.4536831700599844e-07  -0.5030807313508736e-06   0.2440719736401604e-01
34 29 31 29  1 -1  1 -1    0.2820170872848877e-01   0.1897484538443536e-02   0.4536831700599844e-07  -0.2854656367922300e-06   0.2630455502399903e-01
34 34 31 34  1 -1  1 -1    0.9165972596702876e-03   0.0000000000000000e+00   0.4434396755945513e-09  -0.4538876206203069e-08   0.9166022419861694e-03
34 29 31 29 -1  1 -1  1    0.2820170872848877e-01   0.1897484538443536e-02   0.4536831700599844e-07  -0.2854656367922300e-06   0.2630455502399903e-01
29 32 30 31 -1  1 -1  1   -0.8911825115325510e-02  -0.1348976820434680e-02   0.1153937656900067e-05   0.8792709522419216e-06  -0.7562573628186172e-02
29 32 30 31 -1 -1 -1 -1   -0.8911825115325510e-02  -0.1348976820434680e-02   0.1153937656900067e-05   0.8792709522419219e-06  -0.7562573628186171e-02
31 34 30 34 -3  3 -1  1   -0.8194571632507209e-03  -0.4210498828501177e-03   0.1831811799910062e-07  -0.2586908268053059e-09  -0.3983887035917773e-03
31 31 30 31 -1 -3 -1 -3   -0.6300806603849881e-02   0.6300806603849881e-02  -0.2101929655553881e-06   0.2101929655553881e-06  -0.1260203359363087e-01
31 34 30 34 -1  3 -1  3   -0.8194571632507211e-03  -0.4210498828501177e-03   0.1831811799910062e-07  -0.2586908268053059e-09  -0.3983887035917775e-03
32 34 32 34  1 -3 -1 -1    0.0000000000000000e+00   0.2289116738314641e-02  -0.3637876004349383e-07  -0.7822039438775434e-07  -0.2289074896680296e-02
31 29 30 29  1  1  1  1    0.0000000000000000e+00  -0.2468974867244409e-01   0.1301963755560580e-06   0.2767906567156568e-05   0.2468711096225249e-01
31 30 30 30  1 -1  1 -1    0.0000000000000000e+00   0.0000000000000000e+00   0.9454177152916418e-07   0.9454177152916416e-07   0.2646977960169689e-22
31 31 31 31  3 -1  3 -1    0.2323498917887983e+00   0.1000571744136931e-01   0.3087941715377664e-06  -0.2159004679676227e-06   0.2223446990420685e+00
30 32 29 33  1 -1  1 -1   -0.8039198594306544e-02   0.0000000000000000e+00   0.5683854333100184e-06  -0.7825089604652132e-07  -0.8038551957977189e-02
31 32 31 32  1  1  1  1    0.1848082498373402e+00   0.1523197003793948e-01  -0.4468465205376910e-07  -0.6514634871090771e-06   0.1695768865782358e+00
34 30 31 30  3 -1  3 -1    0.2655560735280651e-01   0.3179521483878899e-02   0.5918438855275026e-07  -0.3156507094374959e-07   0.2337617661838710e-01
32 31 29 31  1  1  1  1    0.1218390839643932e-01  -0.1086882787983474e-01  -0.4476423490271265e-07  -0.1380893748581824e-05   0.2305407240578775e-01
32 31 29 31  1 -1  1 -1    0.1218390839643932e-01  -0.5434413939917371e-02   0.4476423490271265e-07  -0.7064216163017169e-06   0.1761907352220789e-01
30 33 31 31 -1  1  1 -1   -0.1797914654693779e-02   0.1198609769795853e-02   0.6406875534597729e-07  -0.5536526309856415e-07  -0.2996404990471188e-02
33 33 31 34  1 -1  1 -1    0.1278802448545645e-02  -0.1918203672818467e-02  -0.3037303832194897e-07   0.4468294789109333e-07   0.3196931065377898e-02
33 33 31 34  1 -1 -1  1   -0.1918203672818467e-02   0.1278802448545645e-02   0.4468294789109333e-07  -0.3037303832194897e-07  -0.3196931065377899e-02
33 33 31 34  1 -1  3 -3   -0.6394012242728222e-03   0.2557604897091288e-02   0.1606312875280462e-07  -0.5899285746023766e-07  -0.3196931065377898e-02
33 33 31 34  1 -1 -3  3    0.2557604897091288e-02  -0.6394012242728222e-03  -0.5899285746023766e-07   0.1606312875280462e-07   0.3196931065377897e-02
31 34 29 32  3 -3  1 -1   -0.1218353453104555e-02   0.0000000000000000e+00  -0.7346837089107439e-06  -0.4376105552369483e-08  -0.1219083760707913e-02
30 33 31 31  1 -1  1 -1    0.1198609769795853e-02  -0.1797914654693779e-02  -0.5536526309856415e-07   0.6406875534597729e-07   0.2996404990471188e-02
31 34 29 32  3 -3 -1  1    0.0000000000000000e+00   0.3047850882293968e-02  -0.4375569830544571e-08  -0.2776831423118639e-06  -0.3047577574721487e-02
33 33 30 33 -1  1 -1  1    0.3206160772191575e-02   0.0000000000000000e+00   0.1507936523672216e-07  -0.3015873047344432e-07   0.3206206010287285e-02
34 30 30 30  1 -1  1 -1    0.0000000000000000e+00   0.0000000000000000e+00   0.2592338528313331e-07   0.2592338528313330e-07   0.3308722450212111e-23
31 34 30 33 -3  1 -1 -1   -0.6029361416174675e-03   0.1480704808557127e-03  -0.4780509196298332e-08  -0.1324774525478828e-08  -0.7510100782078510e-03
30 31 29 32  1 -1  1 -1    0.8911825115325510e-02   0.1348976820434680e-02  -0.1153937656900067e-05  -0.8792709522419216e-06   0.7562573628186172e-02
34 29 31 29 -1 -1 -1 -1    0.2820170872848877e-01   0.3794969076887073e-02  -0.4536831700599844e-07  -0.5030807313508736e-06   0.2440719736401604e-01
34 34 31 34 -1  1 -1  1    0.9165972596702876e-03   0.0000000000000000e+00   0.4434396755945513e-09  -0.4538876206203070e-08   0.9166022419861694e-03
34 34 31 34  1 -1 -3  3   -0.4892580495798538e-03   0.4892580495798539e-03  -0.1652264669077765e-09  -0.3486770388106190e-08  -0.9785127776157866e-03
29 32 30 31  1  1  1  1    0.8911825115325510e-02   0.1348976820434680e-02  -0.1153937656900067e-05  -0.8792709522419219e-06   0.7562573628186171e-02
34 34 32 32  3 -3  1 -1   -0.3964866495217308e-02   0.0000000000000000e+00  -0.1469402513556628e-06   0.1145855408799677e-07  -0.3965024894022752e-02
29 32 30 31  1 -1  1 -1    0.8911825115325510e-02   0.1348976820434680e-02  -0.1153937656900067e-05  -0.8792709522419216e-06   0.7562573628186172e-02
31 31 30 31  1  3  1  3    0.6300806603849883e-02  -0.6300806603849881e-02   0.2101929655553881e-06  -0.2101929655553881e-06   0.1260203359363087e-01
31 34 30 34  1 -3  1 -3    0.8194571632507209e-03   0.4210498828501177e-03  -0.1831811799910062e-07   0.2586908268053059e-09   0.3983887035917773e-03
31 34 30 34  3 -3  1 -1    0.8194571632507209e-03   0.4210498828501177e-03  -0.1831811799910062e-07   0.2586908268053059e-09   0.3983887035917772e-03
32 33 29 33 -1  1 -1  1    0.2177493509017064e-02   0.9711742056742623e-03   0.2120714972911737e-07  -0.1395274883814702e-06   0.1206480037980912e-02
31 32 30 32  1 -1  1 -1    0.0000000000000000e+00   0.4430036965183496e-02  -0.2096219689663318e-07  -0.3453172791651858e-06  -0.4429712610101227e-02
31 32 30 32 -1  1  1 -1    0.0000000000000000e+00  -0.4430036965183497e-02   0.2096219689663317e-07   0.3453172791651859e-06   0.4429712610101229e-02
30 32 30 32  1  1  1  1    0.1970575536349097e+00   0.1804761416994954e-02  -0.4950855097707135e-07  -0.3053171928331903e-06   0.1952530480265566e+00
30 32 29 33  1  1  1  1    0.8039198594306544e-02   0.6906141575075708e-02  -0.5683854333100184e-06  -0.3912544802326067e-07   0.1132527759245550e-02
31 32 31 32  1 -1  1 -1    0.1848082498373402e+00   0.7615985018969737e-02   0.4468465205376910e-07  -0.3830719954736677e-06   0.1771926925750180e+00
31 32 31 32 -1  1 -1  1    0.1848082498373402e+00   0.7615985018969737e-02   0.4468465205376910e-07  -0.3830719954736677e-06   0.1771926925750180e+00
31 32 29 31 -1 -1  1 -3   -0.9412681053297447e-02   0.0000000000000000e+00  -0.1168220001398462e-05  -0.1550678584268927e-06  -0.9413694205440418e-02
31 32 29 31  1  1 -1  3   -0.9412681053297447e-02   0.0000000000000000e+00  -0.1168220001398462e-05  -0.1550678584268927e-06  -0.9413694205440418e-02
32 31 29 31 -1  1 -1  1    0.1218390839643932e-01  -0.5434413939917371e-02   0.4476423490271265e-07  -0.7064216163017169e-06   0.1761907352220789e-01
32 31 29 31 -1 -1 -1 -1    0.1218390839643932e-01  -0.1086882787983474e-01  -0.4476423490271265e-07  -0.1380893748581824e-05   0.2305407240578775e-01
30 33 31 31 -1 -1  1 -3    0.1038026509867426e-02   0.1038026509867426e-02  -0.1507489077580143e-07  -0.1507489077580142e-07  -0.1987483401393411e-18
29 33 29 33 -1 -1 -1 -1    0.1749151867841069e+00   0.1333778081716975e-02  -0.2031486065600303e-06  -0.1559542983013001e-06   0.1735813615080817e+00
31 34 30 33  3 -1  1  1   -0.6029361416174675e-03   0.1480704808557127e-03  -0.4780509196298332e-08  -0.1324774525478828e-08  -0.7510100782078510e-03
31 34 29 32  1 -1  1 -1    0.8122356354030366e-03   0.1015950294097989e-02   0.4883306159969811e-06  -0.8964364373570826e-07  -0.2031366844352197e-03
31 34 29 32  1 -1 -1  1   -0.4061178177015182e-03  -0.2031900588195979e-02  -0.2419775230832181e-06   0.1836633930237861e-06   0.1625357129578353e-02
31 34 29 32 -1  1  1 -1   -0.4061178177015182e-03  -0.2031900588195979e-02  -0.2419775230832181e-06   0.1836633930237861e-06   0.1625357129578353e-02
31 34 29 32 -1  1 -1  1    0.8122356354030366e-03   0.1015950294097989e-02   0.4883306159969811e-06  -0.8964364373570826e-07  -0.2031366844352197e-03
31 34 31 34  3 -3 -1  1    0.1886217096339670e-02  -0.4223322105738340e-03   0.9666561998195349e-08  -0.2383226370435493e-07   0.2308582805739206e-02
30 31 29 32  1  1  1  1    0.8911825115325510e-02   0.1348976820434680e-02  -0.1153937656900067e-05  -0.8792709522419218e-06   0.7562573628186171e-02
30 31 29 32 -1 -1 -1 -1   -0.8911825115325510e-02  -0.1348976820434680e-02   0.1153937656900067e-05   0.8792709522419218e-06  -0.7562573628186171e-02
34 34 32 32  1 -1  1 -1    0.2643244330144872e-02  -0.1321622165072435e-02   0.1017796855997741e-06  -0.5661911984388542e-07   0.3965024894022751e-02
34 34 33 33  3 -3  1 -1    0.8087209776826910e-03  -0.3234883910730763e-02   0.9698498823556000e-08  -0.2170242623722405e-07   0.4043636289338514e-02
34 34 33 33  1 -1  1 -1   -0.1617441955365382e-02   0.2426162933048073e-02  -0.1369980796144536e-07   0.1770111709933471e-07  -0.4043636289338516e-02
29 32 30 31  1  1 -1  3   -0.1543573388791215e-01  -0.2336496391225584e-02   0.1998678650517900e-05   0.1522941962902477e-05  -0.1309876175999895e-01
31 34 30 34 -1 -1  1 -3   -0.1419341441376512e-02  -0.3646398948086641e-03   0.1057597035782807e-07   0.3728828336050595e-08  -0.1054694699425827e-02
29 32 30 31  1 -1 -1  1   -0.8911825115325508e-02  -0.1348976820434680e-02   0.1153937656900067e-05   0.8792709522419219e-06  -0.7562573628186169e-02
29 32 31 31 -1  1  3 -3    0.0000000000000000e+00   0.1630324181975212e-01   0.3194948402160984e-07  -0.2055365880861932e-05  -0.1630115450438724e-01
32 29 29 29  1 -1  1 -1    0.3807436321406543e-01   0.0000000000000000e+00   0.3263385754591712e-06  -0.6526771509183421e-06   0.3807534222979180e-01
31 31 31 31  1 -3  1 -3    0.2323498917887983e+00   0.1000571744136930e-01   0.3087941715377663e-06  -0.2159004679676229e-06   0.2223446990420685e+00
30 34 30 34  1 -3  1 -3    0.1073255821941355e+00   0.6084333234937450e-03   0.1890958846672170e-07  -0.6588376449617768e-08   0.1067171743686067e+00
32 34 32 34  1 -3  1 -3    0.1031167001529434e+00   0.0000000000000000e+00   0.3150493035584394e-07  -0.1145855408799676e-07   0.1031167431164279e+00
30 34 30 34  1 -3 -1 -1    0.0000000000000000e+00  -0.2634593573272895e-03  -0.2183491198305364e-07   0.3780185081077636e-09   0.2634371443967984e-03
30 32 29 33 -1 -1 -1 -1    0.8039198594306544e-02   0.6906141575075708e-02  -0.5683854333100184e-06  -0.3912544802326067e-07   0.1132527759245550e-02
29 34 29 34  1 -3 -1 -1    0.0000000000000000e+00   0.5735960630597055e-03  -0.6139302299666198e-07  -0.5134906946275229e-07  -0.5736061070132394e-03
30 34 30 34 -1  1  1 -1    0.0000000000000000e+00  -0.3042166617468728e-03  -0.2521278462229561e-07   0.4364981748293561e-09   0.3041910124640757e-03
31 32 31 32 -1 -1 -1 -1    0.1848082498373402e+00   0.1523197003793948e-01  -0.4468465205376910e-07  -0.6514634871090771e-06   0.1695768865782358e+00
31 34 31 31 -3  3  1 -1    0.1352114557705015e-02  -0.1352114557705015e-02   0.3930115140618443e-07  -0.1323758606852879e-06   0.2704400792422122e-02
30 34 31 33 -1 -3 -3 -1    0.3481053436669991e-03   0.3162022458901744e-02  -0.2423839276543850e-08   0.6426175601967847e-08  -0.2813925965249623e-02
30 34 31 33  1 -3 -1 -1   -0.6029361416174674e-03   0.0000000000000000e+00   0.4780509196298330e-08   0.7420308427311885e-08  -0.6029387814166984e-03
30 34 31 33  1 -3 -3  1    0.1392421374667995e-02   0.3162022458901744e-02  -0.1070392409058281e-07  -0.6426175601967847e-08  -0.1769605361982237e-02
